pathwayName	entrez	gene_symbol
Synthesis of substrates in N-glycan biosythesis	10020	GNE
Potassium Channels	10021	HCN4
Class A/1 (Rhodopsin-like receptors)	10022	INSL5
Peptide ligand-binding receptors	10022	INSL5
G alpha (i) signalling events	10022	INSL5
GPCR ligand binding	10022	INSL5
Degradation of beta-catenin by the destruction complex	10023	FRAT1
Signaling by WNT	10023	FRAT1
Beta-catenin phosphorylation cascade	10023	FRAT1
TCF dependent signaling in response to WNT	10023	FRAT1
Disassembly of the destruction complex and recruitment of AXIN to the membrane	10023	FRAT1
PPARA activates gene expression	10025	MED16
Transcriptional regulation of white adipocyte differentiation	10025	MED16
Regulation of lipid metabolism by PPARalpha	10025	MED16
Post-translational modification: synthesis of GPI-anchored proteins	10026	PIGK
NRAGE signals death through JNK	100271715	ARHGEF33
p75 NTR receptor-mediated signalling	100271715	ARHGEF33
Signaling by Rho GTPases	100271715	ARHGEF33
Rho GTPase cycle	100271715	ARHGEF33
Cell death signalling via NRAGE, NRIF and NADE	100271715	ARHGEF33
G alpha (12/13) signalling events	100271715	ARHGEF33
Death Receptor Signalling	100271715	ARHGEF33
Myogenesis	100271849	MEF2B
Mitochondrial protein import	100272147	CMC4
Deubiquitination	100287144	USP17L10
Ub-specific processing proteases	100287144	USP17L10
Deubiquitination	100287178	USP17L11
Ub-specific processing proteases	100287178	USP17L11
Deubiquitination	100287238	USP17L13
Ub-specific processing proteases	100287238	USP17L13
Deubiquitination	100287327	USP17L17
Ub-specific processing proteases	100287327	USP17L17
Deubiquitination	100287364	USP17L18
Ub-specific processing proteases	100287364	USP17L18
Deubiquitination	100287404	USP17L19
Ub-specific processing proteases	100287404	USP17L19
Deubiquitination	100287441	USP17L20
Ub-specific processing proteases	100287441	USP17L20
Deubiquitination	100287478	USP17L21
Ub-specific processing proteases	100287478	USP17L21
Deubiquitination	100287513	USP17L22
Ub-specific processing proteases	100287513	USP17L22
Mitochondrial protein import	100287932	TIMM23
Keratinization	100288323	KRTAP21-3
Beta defensins	100289462	DEFB4B
Defensins	100289462	DEFB4B
Antimicrobial peptides	100289462	DEFB4B
Signaling by VEGF	1003	CDH5
Adherens junctions interactions	1003	CDH5
Cell-cell junction organization	1003	CDH5
VEGFA-VEGFR2 Pathway	1003	CDH5
Cell junction organization	1003	CDH5
VEGFR2 mediated vascular permeability	1003	CDH5
Neddylation	100302652	GPR75-ASB3
Antigen processing: Ubiquitination & Proteasome degradation	100302652	GPR75-ASB3
Class I MHC mediated antigen processing & presentation	100302652	GPR75-ASB3
Apoptosis	100302736	TMED7-TICAM2
Caspase activation via Death Receptors in the presence of ligand	100302736	TMED7-TICAM2
Toll Like Receptor 4 (TLR4) Cascade	100302736	TMED7-TICAM2
MyD88-independent TLR4 cascade	100302736	TMED7-TICAM2
Toll Like Receptor 9 (TLR9) Cascade	100302736	TMED7-TICAM2
Toll Like Receptor 7/8 (TLR7/8) Cascade	100302736	TMED7-TICAM2
Toll-like Receptor Cascades	100302736	TMED7-TICAM2
ER to Golgi Anterograde Transport	100302736	TMED7-TICAM2
Asparagine N-linked glycosylation	100302736	TMED7-TICAM2
Caspase activation via extrinsic apoptotic signalling pathway	100302736	TMED7-TICAM2
Neutrophil degranulation	100302736	TMED7-TICAM2
COPI-mediated anterograde transport	100302736	TMED7-TICAM2
COPI-dependent Golgi-to-ER retrograde traffic	100302736	TMED7-TICAM2
Intra-Golgi and retrograde Golgi-to-ER traffic	100302736	TMED7-TICAM2
Golgi-to-ER retrograde transport	100302736	TMED7-TICAM2
Transport to the Golgi and subsequent modification	100302736	TMED7-TICAM2
MyD88 dependent cascade initiated on endosome	100302736	TMED7-TICAM2
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	10038	PARP2
HDR through MMEJ (alt-NHEJ)	10038	PARP2
DNA Double-Strand Break Repair	10038	PARP2
Homology Directed Repair	10038	PARP2
DNA Damage Recognition in GG-NER	10038	PARP2
Formation of Incision Complex in GG-NER	10038	PARP2
Nucleotide Excision Repair	10038	PARP2
Global Genome Nucleotide Excision Repair (GG-NER)	10038	PARP2
Dual Incision in GG-NER	10038	PARP2
Base Excision Repair	10038	PARP2
Resolution of Abasic Sites (AP sites)	10038	PARP2
Adherens junctions interactions	1004	CDH6
Cell-cell junction organization	1004	CDH6
Cell junction organization	1004	CDH6
Neutrophil degranulation	10043	TOM1
Signaling by NOTCH	10046	MAMLD1
Regulation of beta-cell development	10046	MAMLD1
Pre-NOTCH Transcription and Translation	10046	MAMLD1
Pre-NOTCH Expression and Processing	10046	MAMLD1
Signaling by NOTCH1	10046	MAMLD1
Signaling by NOTCH2	10046	MAMLD1
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	10046	MAMLD1
NOTCH1 Intracellular Domain Regulates Transcription	10046	MAMLD1
NOTCH2 intracellular domain regulates transcription	10046	MAMLD1
Notch-HLH transcription pathway	10046	MAMLD1
Diseases of signal transduction by growth factor receptors and second messengers	10046	MAMLD1
Transcriptional regulation by RUNX3	10046	MAMLD1
RUNX3 regulates NOTCH signaling	10046	MAMLD1
Signaling by NOTCH3	10046	MAMLD1
NOTCH3 Intracellular Domain Regulates Transcription	10046	MAMLD1
Signaling by NOTCH4	10046	MAMLD1
NOTCH4 Intracellular Domain Regulates Transcription	10046	MAMLD1
L1CAM interactions	10048	RANBP9
RAF/MAP kinase cascade	10048	RANBP9
MAPK family signaling cascades	10048	RANBP9
MAPK1/MAPK3 signaling	10048	RANBP9
Signaling by MET	10048	RANBP9
MET activates RAS signaling	10048	RANBP9
FLT3 Signaling	10048	RANBP9
Regulation of HSF1-mediated heat shock response	10049	DNAJB6
Cellular response to heat stress	10049	DNAJB6
Adherens junctions interactions	1005	CDH7
Cell-cell junction organization	1005	CDH7
Cell junction organization	1005	CDH7
Keratinization	100505753	KRTAP16-1
Apoptosis	100506658	OCLN
Apoptotic cleavage of cellular proteins	100506658	OCLN
Apoptotic cleavage of cell adhesion  proteins	100506658	OCLN
Apoptotic execution phase	100506658	OCLN
Transcriptional regulation by RUNX1	100506658	OCLN
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	100507436	MICA
Condensation of Prophase Chromosomes	10051	SMC4
Condensation of Prometaphase Chromosomes	10051	SMC4
Mitotic Prophase	10051	SMC4
Mitotic Prometaphase	10051	SMC4
M Phase	10051	SMC4
Gap junction trafficking and regulation	10052	GJC1
Gap junction trafficking	10052	GJC1
Gap junction assembly	10052	GJC1
Amplification of signal from the kinetochores	100526739	CENPS-CORT
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	100526739	CENPS-CORT
Signaling by Rho GTPases	100526739	CENPS-CORT
RHO GTPase Effectors	100526739	CENPS-CORT
Resolution of Sister Chromatid Cohesion	100526739	CENPS-CORT
Mitotic Metaphase and Anaphase	100526739	CENPS-CORT
RHO GTPases Activate Formins	100526739	CENPS-CORT
Deposition of new CENPA-containing nucleosomes at the centromere	100526739	CENPS-CORT
Fanconi Anemia Pathway	100526739	CENPS-CORT
Mitotic Prometaphase	100526739	CENPS-CORT
Mitotic Anaphase	100526739	CENPS-CORT
M Phase	100526739	CENPS-CORT
Mitotic Spindle Checkpoint	100526739	CENPS-CORT
Cell Cycle Checkpoints	100526739	CENPS-CORT
Chromosome Maintenance	100526739	CENPS-CORT
Nucleosome assembly	100526739	CENPS-CORT
EML4 and NUDC in mitotic spindle formation	100526739	CENPS-CORT
Antimicrobial peptides	100526773	EPPIN-WFDC6
Metabolism of nucleotides	100526794	NT5C1B-RDH14
Purine catabolism	100526794	NT5C1B-RDH14
Nucleobase catabolism	100526794	NT5C1B-RDH14
Amplification of signal from the kinetochores	100527963	PMF1-BGLAP
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	100527963	PMF1-BGLAP
Signaling by Rho GTPases	100527963	PMF1-BGLAP
RHO GTPase Effectors	100527963	PMF1-BGLAP
Resolution of Sister Chromatid Cohesion	100527963	PMF1-BGLAP
Mitotic Metaphase and Anaphase	100527963	PMF1-BGLAP
RHO GTPases Activate Formins	100527963	PMF1-BGLAP
Mitotic Prometaphase	100527963	PMF1-BGLAP
Mitotic Anaphase	100527963	PMF1-BGLAP
M Phase	100527963	PMF1-BGLAP
Mitotic Spindle Checkpoint	100527963	PMF1-BGLAP
Cell Cycle Checkpoints	100527963	PMF1-BGLAP
EML4 and NUDC in mitotic spindle formation	100527963	PMF1-BGLAP
Visual phototransduction	100529261	CHURC1-FNTB
G alpha (i) signalling events	100529261	CHURC1-FNTB
HIV Infection	10053	AP1M2
Host Interactions of HIV factors	10053	AP1M2
The role of Nef in HIV-1 replication and disease pathogenesis	10053	AP1M2
trans-Golgi Network Vesicle Budding	10053	AP1M2
MHC class II antigen presentation	10053	AP1M2
Lysosome Vesicle Biogenesis	10053	AP1M2
Golgi Associated Vesicle Biogenesis	10053	AP1M2
PIP3 activates AKT signaling	100532731	COMMD3-BMI1
Oxidative Stress Induced Senescence	100532731	COMMD3-BMI1
Cellular Senescence	100532731	COMMD3-BMI1
SUMOylation	100532731	COMMD3-BMI1
SUMOylation of DNA damage response and repair proteins	100532731	COMMD3-BMI1
SUMO E3 ligases SUMOylate target proteins	100532731	COMMD3-BMI1
SUMOylation of transcription cofactors	100532731	COMMD3-BMI1
SUMOylation of chromatin organization proteins	100532731	COMMD3-BMI1
SUMOylation of RNA binding proteins	100532731	COMMD3-BMI1
SUMOylation of DNA methylation proteins	100532731	COMMD3-BMI1
PTEN Regulation	100532731	COMMD3-BMI1
Transcriptional regulation by RUNX1	100532731	COMMD3-BMI1
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	100532731	COMMD3-BMI1
Regulation of PTEN gene transcription	100532731	COMMD3-BMI1
Transcriptional Regulation by E2F6	100532731	COMMD3-BMI1
Intracellular signaling by second messengers	100532731	COMMD3-BMI1
Stimuli-sensing channels	100533105	C8orf44-SGK3
Ion channel transport	100533105	C8orf44-SGK3
Keratinization	100533177	KRTAP29-1
Nucleotide Excision Repair	100534599	ISY1-RAB43
Formation of TC-NER Pre-Incision Complex	100534599	ISY1-RAB43
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	100534599	ISY1-RAB43
Dual incision in TC-NER	100534599	ISY1-RAB43
Gap-filling DNA repair synthesis and ligation in TC-NER	100534599	ISY1-RAB43
mRNA Splicing - Major Pathway	100534599	ISY1-RAB43
mRNA Splicing	100534599	ISY1-RAB43
Processing of Capped Intron-Containing Pre-mRNA	100534599	ISY1-RAB43
SUMOylation	10054	UBA2
Processing and activation of SUMO	10054	UBA2
SUMOylation	10055	SAE1
Processing and activation of SUMO	10055	SAE1
Cytosolic tRNA aminoacylation	10056	FARSB
tRNA Aminoacylation	10056	FARSB
Translation	10056	FARSB
Glycosaminoglycan metabolism	10057	ABCC5
Hyaluronan metabolism	10057	ABCC5
ABC-family proteins mediated transport	10057	ABCC5
Metabolism of carbohydrates	10057	ABCC5
ABC-family proteins mediated transport	10058	ABCB6
Apoptosis	10059	DNM1L
Apoptotic execution phase	10059	DNM1L
Adherens junctions interactions	1006	CDH8
Cell-cell junction organization	1006	CDH8
Cell junction organization	1006	CDH8
Inwardly rectifying K+ channels	10060	ABCC9
Potassium Channels	10060	ABCC9
ABC-family proteins mediated transport	10060	ABCC9
Cardiac conduction	10060	ABCC9
Ion homeostasis	10060	ABCC9
Plasma lipoprotein assembly, remodeling, and clearance	10062	NR1H3
PPARA activates gene expression	10062	NR1H3
SUMOylation	10062	NR1H3
SUMO E3 ligases SUMOylate target proteins	10062	NR1H3
Nuclear Receptor transcription pathway	10062	NR1H3
Regulation of lipid metabolism by PPARalpha	10062	NR1H3
SUMOylation of intracellular receptors	10062	NR1H3
VLDLR internalisation and degradation	10062	NR1H3
Plasma lipoprotein clearance	10062	NR1H3
Signaling by Nuclear Receptors	10062	NR1H3
NR1H2 and NR1H3-mediated signaling	10062	NR1H3
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	10062	NR1H3
Mitochondrial protein import	10063	COX17
Interleukin-1 family signaling	10068	IL18BP
Signaling by Interleukins	10068	IL18BP
Interleukin-37 signaling	10068	IL18BP
Adherens junctions interactions	1007	CDH9
Cell-cell junction organization	1007	CDH9
Cell junction organization	1007	CDH9
O-linked glycosylation	10071	MUC12
Dectin-2 family	10071	MUC12
C-type lectin receptors (CLRs)	10071	MUC12
O-linked glycosylation of mucins	10071	MUC12
Termination of O-glycan biosynthesis	10071	MUC12
snRNP Assembly	10073	SNUPN
Metabolism of non-coding RNA	10073	SNUPN
Neutrophil degranulation	10075	HUWE1
Antigen processing: Ubiquitination & Proteasome degradation	10075	HUWE1
Class I MHC mediated antigen processing & presentation	10075	HUWE1
Signaling by SCF-KIT	10076	PTPRU
Ion transport by P-type ATPases	10079	ATP9A
Ion channel transport	10079	ATP9A
Adherens junctions interactions	1008	CDH10
Cell-cell junction organization	1008	CDH10
Cell junction organization	1008	CDH10
mRNA Splicing - Minor Pathway	10081	PDCD7
mRNA Splicing	10081	PDCD7
Processing of Capped Intron-Containing Pre-mRNA	10081	PDCD7
Glycosaminoglycan metabolism	10082	GPC6
Heparan sulfate/heparin (HS-GAG) metabolism	10082	GPC6
Chondroitin sulfate/dermatan sulfate metabolism	10082	GPC6
Metabolism of vitamins and cofactors	10082	GPC6
A tetrasaccharide linker sequence is required for GAG synthesis	10082	GPC6
HS-GAG biosynthesis	10082	GPC6
HS-GAG degradation	10082	GPC6
Visual phototransduction	10082	GPC6
G alpha (i) signalling events	10082	GPC6
Metabolism of fat-soluble vitamins	10082	GPC6
Metabolism of carbohydrates	10082	GPC6
Retinoid metabolism and transport	10082	GPC6
mRNA Splicing - Major Pathway	10084	PQBP1
mRNA Splicing	10084	PQBP1
Processing of Capped Intron-Containing Pre-mRNA	10084	PQBP1
Biological oxidations	100861540	CYP3A7-CYP3A51P
Cytochrome P450 - arranged by substrate type	100861540	CYP3A7-CYP3A51P
Phase I - Functionalization of compounds	100861540	CYP3A7-CYP3A51P
Xenobiotics	100861540	CYP3A7-CYP3A51P
Sphingolipid de novo biosynthesis	10087	CERT1
Sphingolipid metabolism	10087	CERT1
Potassium Channels	10089	KCNK7
Tandem pore domain potassium channels	10089	KCNK7
Phase 4 - resting membrane potential	10089	KCNK7
Cardiac conduction	10089	KCNK7
Adherens junctions interactions	1009	CDH11
Cell-cell junction organization	1009	CDH11
Cell junction organization	1009	CDH11
Glycosaminoglycan metabolism	10090	UST
Chondroitin sulfate/dermatan sulfate metabolism	10090	UST
Dermatan sulfate biosynthesis	10090	UST
Metabolism of carbohydrates	10090	UST
Signaling by Rho GTPases	10092	ARPC5
RHO GTPase Effectors	10092	ARPC5
Fcgamma receptor (FCGR) dependent phagocytosis	10092	ARPC5
Regulation of actin dynamics for phagocytic cup formation	10092	ARPC5
EPH-Ephrin signaling	10092	ARPC5
EPHB-mediated forward signaling	10092	ARPC5
RHO GTPases Activate WASPs and WAVEs	10092	ARPC5
Neutrophil degranulation	10092	ARPC5
Clathrin-mediated endocytosis	10092	ARPC5
Leishmania infection	10092	ARPC5
Signaling by Rho GTPases	10094	ARPC3
RHO GTPase Effectors	10094	ARPC3
Fcgamma receptor (FCGR) dependent phagocytosis	10094	ARPC3
Regulation of actin dynamics for phagocytic cup formation	10094	ARPC3
EPH-Ephrin signaling	10094	ARPC3
EPHB-mediated forward signaling	10094	ARPC3
RHO GTPases Activate WASPs and WAVEs	10094	ARPC3
Clathrin-mediated endocytosis	10094	ARPC3
Leishmania infection	10094	ARPC3
Signaling by Rho GTPases	10095	ARPC1B
RHO GTPase Effectors	10095	ARPC1B
Fcgamma receptor (FCGR) dependent phagocytosis	10095	ARPC1B
Regulation of actin dynamics for phagocytic cup formation	10095	ARPC1B
EPH-Ephrin signaling	10095	ARPC1B
EPHB-mediated forward signaling	10095	ARPC1B
RHO GTPases Activate WASPs and WAVEs	10095	ARPC1B
Leishmania infection	10095	ARPC1B
Signaling by Rho GTPases	10096	ACTR3
RHO GTPase Effectors	10096	ACTR3
Fcgamma receptor (FCGR) dependent phagocytosis	10096	ACTR3
Regulation of actin dynamics for phagocytic cup formation	10096	ACTR3
EPH-Ephrin signaling	10096	ACTR3
EPHB-mediated forward signaling	10096	ACTR3
RHO GTPases Activate WASPs and WAVEs	10096	ACTR3
Clathrin-mediated endocytosis	10096	ACTR3
Leishmania infection	10096	ACTR3
Signaling by Rho GTPases	10097	ACTR2
RHO GTPase Effectors	10097	ACTR2
Fcgamma receptor (FCGR) dependent phagocytosis	10097	ACTR2
Regulation of actin dynamics for phagocytic cup formation	10097	ACTR2
EPH-Ephrin signaling	10097	ACTR2
EPHB-mediated forward signaling	10097	ACTR2
RHO GTPases Activate WASPs and WAVEs	10097	ACTR2
Neutrophil degranulation	10097	ACTR2
Clathrin-mediated endocytosis	10097	ACTR2
Leishmania infection	10097	ACTR2
Amyloid fiber formation	10098	TSPAN5
Class A/1 (Rhodopsin-like receptors)	100996758	NPY4R2
Peptide ligand-binding receptors	100996758	NPY4R2
G alpha (i) signalling events	100996758	NPY4R2
GPCR ligand binding	100996758	NPY4R2
Degradation of the extracellular matrix	101	ADAM8
Neutrophil degranulation	101	ADAM8
Adherens junctions interactions	1010	CDH12
Cell-cell junction organization	1010	CDH12
Cell junction organization	1010	CDH12
Cytosolic iron-sulfur cluster assembly	10101	NUBP2
Mitochondrial translation	10102	TSFM
Mitochondrial translation elongation	10102	TSFM
Translation	10102	TSFM
XBP1(S) activates chaperone genes	10106	CTDSP2
IRE1alpha activates chaperones	10106	CTDSP2
Unfolded Protein Response (UPR)	10106	CTDSP2
Visual phototransduction	101060233	OPN1MW3
Class A/1 (Rhodopsin-like receptors)	101060233	OPN1MW3
G alpha (i) signalling events	101060233	OPN1MW3
GPCR ligand binding	101060233	OPN1MW3
Interferon gamma signaling	10107	TRIM10
Interferon Signaling	10107	TRIM10
Signaling by Rho GTPases	10109	ARPC2
RHO GTPase Effectors	10109	ARPC2
Fcgamma receptor (FCGR) dependent phagocytosis	10109	ARPC2
Regulation of actin dynamics for phagocytic cup formation	10109	ARPC2
EPH-Ephrin signaling	10109	ARPC2
EPHB-mediated forward signaling	10109	ARPC2
RHO GTPases Activate WASPs and WAVEs	10109	ARPC2
Clathrin-mediated endocytosis	10109	ARPC2
Leishmania infection	10109	ARPC2
Stimuli-sensing channels	10110	SGK2
Ion channel transport	10110	SGK2
Meiosis	10111	RAD50
Cellular Senescence	10111	RAD50
DNA Damage/Telomere Stress Induced Senescence	10111	RAD50
Transcriptional Regulation by TP53	10111	RAD50
Regulation of TP53 Activity	10111	RAD50
HDR through Single Strand Annealing (SSA)	10111	RAD50
HDR through MMEJ (alt-NHEJ)	10111	RAD50
HDR through Homologous Recombination (HRR)	10111	RAD50
DNA Double-Strand Break Repair	10111	RAD50
Homology Directed Repair	10111	RAD50
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	10111	RAD50
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	10111	RAD50
Nonhomologous End-Joining (NHEJ)	10111	RAD50
DNA Double Strand Break Response	10111	RAD50
Processing of DNA double-strand break ends	10111	RAD50
G2/M DNA damage checkpoint	10111	RAD50
G2/M Checkpoints	10111	RAD50
Cell Cycle Checkpoints	10111	RAD50
Meiotic recombination	10111	RAD50
MHC class II antigen presentation	10112	KIF20A
COPI-dependent Golgi-to-ER retrograde traffic	10112	KIF20A
Intra-Golgi and retrograde Golgi-to-ER traffic	10112	KIF20A
Mitotic Telophase/Cytokinesis	10112	KIF20A
M Phase	10112	KIF20A
Golgi-to-ER retrograde transport	10112	KIF20A
Kinesins	10112	KIF20A
Factors involved in megakaryocyte development and platelet production	10112	KIF20A
ER to Golgi Anterograde Transport	10113	PREB
COPII-mediated vesicle transport	10113	PREB
XBP1(S) activates chaperone genes	10113	PREB
IRE1alpha activates chaperones	10113	PREB
Unfolded Protein Response (UPR)	10113	PREB
Asparagine N-linked glycosylation	10113	PREB
